District,Total Enrollment,Total Revenue
FLORENCE COUNTY SCHOOL DISTRICT 1,16433,182775
FLORENCE COUNTY SCHOOL DISTRICT 2,1219,11710
FLORENCE COUNTY SCHOOL DISTRICT 3,3728,40423
FLORENCE COUNTY SCHOOL DISTRICT 4,751,9221
FLORENCE COUNTY SCHOOL DISTRICT 5,1413,14147
FLORENCE IND SCH DIST 902,995,11572
FLORENCE SCH DIST RE-2,1373,15078
FLORENCE SCHOOL DISTRICT,393,7714
FLORENCE SCHOOL DISTRICT 14-1,246,2659
FLORENCE TWP SCH DIST,1627,32266
FLORENCE UNIFIED SCHOOL DISTRICT 1,8320,62475
FLORENCE-CARLTON K-12 SCHOOL DIST,795,7936
FLORESVILLE IND SCH DIST 901,3949,42462
FLORHAM PARK BORO SCH DISTRICT,989,20229
FLORIDA TOWN SCHS,89,1840
FLORIDA UNION FREE SCH DIST,866,20546
FLOSSMOOR SCHOOL DISTRICT 161,2328,34458
FLOUR BLUFF IND SCH DIST 914,5793,55492
FLOURNOY UNION ELEM SCH DIST,30,435
FLOWER MOUND SCH DIST 48,331,2289
FLOWING WELLS SCHOOL DISTRICT 8,5534,41980
FLOYD CO SCH DIST,6243,69856
FLOYD CO SCHOOL DISTRICT,10063,116787
FLOYD CO SCHS,1990,20937
FLOYD SCHOOL DISTRICT,224,3435
FLOYDADA IND SCH DIST 901,756,10844
FLUSHING COMM SCH DIST 15,3968,38111
FLUVANNA CO SCHS,3627,38858
FOLEY SCH DIST 51,1846,22340
FOLLETT IND SCH DIST 902,192,3895
FOLSOM BORO SCHOOL DIST,419,8393
FOLSOM EDUC & COMMUNITY CENTER,190,3374
FOLSOM-CORDOVA UNIF SCH DIST,19527,208433
FOND DU LAC SCHOOL DISTRICT,7444,94798
FONDA FULTONVILLE CTL SCH DIST,1408,26084
FONTANA JOINT SCHOOL DISTRICT 8,287,4388
FONTANA UNIFIED SCH DIST,39470,448418
FORBES ROAD SCH DIST,359,7048
FORD HEIGHTS SCHOOL DISTRICT 169,460,11642
FORDLAND SCH DIST R-3,597,5433
FORDVILLE-LANKIN SCHOOL DISTRICT 5,43,1355
FORDYCE SCH DIST 39,852,10667
FOREMAN SCH DIST,502,5493
FOREST AREA SCHOOL DIST,461,12094
FOREST CITY COMMUNITY SCHOOL DISTRICT,1145,16459
FOREST CITY REGIONAL SCHOOL DIST,806,13886
FOREST GROVE SCH DIST 1,181,1644
FOREST GROVE SCH DIST 15,6191,73221
FOREST HILLS LOCAL SCH DIST,7420,88093
FOREST HILLS SCH DIST,10077,129990
FOREST HILLS SCHOOL DIST,1897,25790
FOREST LAKE SCH DIST 831,6761,85564
FOREST MUNICIPAL SEPARATE SCHOOL DISTRICT,1726,13977
FOREST PARK SCHOOL DIST,445,5184
FOREST PARK SCHOOL DISTRICT 91,780,20884
FOREST RIDGE SCHOOL DISTRICT 142,1606,17771
FORESTBURG IND SCH DIST 910,192,4286
FORESTHILL UNION ELEM SCHOOL DIST,393,3986
FORESTVILLE CENTRAL SCH,503,11370
FORESTVILLE ELEM SCH DIST,354,4842
FORGAN SCH DIST 123,142,2342
FORNEY IND SCH DIST 902,8995,86166
FORREST CITY SCH DIST 7,2946,36072
FORREST COUNTY AGRICULTURAL HIGH SCHOOL,588,5821
FORREST COUNTY SCHOOL DISTRICT,2421,23596
FORRESTVILLE COMMUNITY UNIT SCHOOL DISTRICT 221,870,11527
FORSAN IND SCH DIST 904,739,13068
FORSYTH COUNTY SCHOOL DISTRICT,42435,392689
FORSYTH CO-WINSTON SALEM SCHOOLS,54762,477102
FORSYTH ELEM SCH DIST 4,256,2933
FORSYTH H S DIST 4,111,2140
FORSYTH SCH DIST R 3,1145,11501
FORT ANN CENTRAL SCHOOL DISTRICT,484,11685
FORT ATKINSON CITY SCHOOL DISTRICT,2906,38231
FORT BEND IND SCH DISTRICT 907,72152,690936
FORT BENTON ELEM SCH DIST 1,207,2055
FORT BENTON HIGH SCH DIST 1,71,2217
FORT BRAGG UNIF SCH DIST,1873,21812
FORT CALHOUN SCH DIST 3,612,8519
FORT CHERRY SCHOOL DIST,1067,17808
FORT COBB-BROXTON SCH DISTRICT 167,326,4118
FORT DODGE COMMUNITY SCHOOL DISTRICT,4011,50268
FORT EDWARD U F SCH DIST,571,11106
FORT ELLIOTT IND SCH DIST 906,168,18395
FORT FRYE LOCAL SCHOOL DIST,909,12322
FORT GIBSON SCH DIST 3,1916,15793
FORT HANCOCK IND SCH DIST 901,440,5698
FORT HUACHUCA ACCOMMODATION SCHOOL,1010,12703
FORT LARNED UNIFIED SCHOOL DISTRICT 495,942,11933
FORT LEBOEUF SCHOOL DIST,2113,30451
FORT LEE BORO SCH DIST,3739,68315
FORT LORAMIE LOCAL SCHOOL DIST,789,10109
FORT MADISON COMMUNITY SCHOOL DISTRICT,2318,25097
FORT MORGAN SCH DIST 3,3200,35925
FORT OSAGE SCH DIST R 1,5092,56039
FORT PAYNE CITY SCHOOL DISTRICT,3168,27732
FORT PLAIN CENT SCH DIST,810,19241
FORT RANSOM SCH DIST 6,37,383
FORT RECOVERY LOCAL SCH DIST,1018,11832
FORT ROSS SCH DIST,32,572
FORT SAGE UNIFIED SCHOOL DISTRICT,313,3531
FORT SCOTT UNIFIED SCHOOL DISTRICT 234,1905,20345
FORT SMITH SCH DIST,14711,157438
FORT STOCKTON IND SCH DIST 902,2486,30241
FORT SUPPLY SCH DIST 5,135,2671
FORT TOTTEN SCH DIST 30,177,3683
FORT TOWSON SCH DIST 2,414,3737
FORT WAYNE COMMUNITY SCHOOLS,30952,365529
FORT WORTH IND SCH DIST 905,85975,887545
FORT YATES SCHOOL DISTRICT #4,198,3919
FORTINE ELEM DIST 14,82,801
FORTUNA ELEMENTARY SCHOOL DISTRICT,1381,14985
FORTUNA UNION HIGH SCHOOL DIST,1066,11301
FOSSIL SCHOOL DIST 21J,264,2774
FOSSTON SCH DIST 601,630,8229
FOSTER ELEMENTARY SCHOOL DISTRICT,284,5010
FOSTORIA CITY SCH DIST,1872,25999
FOUKE SCH DIST 15,1095,10693
FOUNTAIN HILLS SCHOOL DISTRICT 98,1682,15976
FOUNTAIN LAKE SCHOOL DISTRICT 18,1372,16331
FOUNTAIN SCH DIST 8,8120,91876
FOUNTAIN VALLEY SCHOOL DIST,6305,55837
FOWLER SCH DIST R4J,402,4235
FOWLER SCHOOL DISTRICT 45,4786,34946
FOWLER UNIFIED SCH DIST,2477,29278
FOWLER UNIFIED SCHOOL DISTRICT 225,168,2815
FOWLER VILLAGE SCH DIST,516,5199
FOWLERVILLE COMM SCH DIST,2860,31542
FOX CHAPEL AREA SCH DIST,4224,88532
FOX CONS SCH DIST C 6,11681,118198
FOX LAKE ELEMENTARY SCHOOL DISTRICT 114,778,11878
FOX POINT JOINT SCHOOL DISTRICT 2,914,13207
FOX RIVER GROVE CONSOLIDATED SCHOOL DISTRICT 3,475,8524
FOX SCH DIST 74,340,3155
FOXBORO PUBLIC SCHS,2712,47914
FOYIL SCH DIST 7,572,4769
FRAMINGHAM TOWN SCH,8153,169282
FRANCIS HOWELL SCHOOL DIST R 3,17785,210439
FRANKENMUTH SCH DIST,1225,12906
FRANKFORD TWP SCH DIST,537,12248
FRANKFORT COMMUNITY CONSOLIDATED SCHOOL DISTRICT 157 C,2482,38608
FRANKFORT COMMUNITY SCHOOL DISTRICT,3207,37898
FRANKFORT IND SCH DIST,863,11465
FRANKFORT SCHUYLER CENTRAL SCH DIST,1004,19041
FRANKFORT-ELBERTA AREA SCH DIST,472,7123
FRANKLIN AREA SCH DIST,1965,32490
FRANKLIN BORO SCH DIST,458,9579
FRANKLIN CENTRAL SCH DIST,275,6495
FRANKLIN CENTRAL TOWN SCH DIST,158,1825
FRANKLIN CITY SCH DIST,2917,34627
FRANKLIN CITY SCHOOLS,1201,18209
FRANKLIN CITY SCHOOLS,5633,96203
FRANKLIN CO SCH,8711,79393
FRANKLIN CO SCH DIST,1446,15527
FRANKLIN CO SCH DIST,3576,38340
FRANKLIN CO SCH DIST,5687,49954
FRANKLIN CO SCH DIST,6357,66455
FRANKLIN CO SCH DIST R-2,193,2326
FRANKLIN CO SCHS,7491,86041
FRANKLIN CO TECH SCHOOL,519,11814
FRANKLIN COMMUNITY SCHOOL CORPORATION,5026,58654
FRANKLIN COMMUNITY UNIT SCHOOL DISTRICT 1,309,4439
FRANKLIN COUNTY COMMUNITY SCHOOL CORPORATION,2764,28207
FRANKLIN COUNTY SCHOOL DISTRICT,1283,16396
FRANKLIN COUNTY SCHOOL DISTRICT,3307,34213
FRANKLIN ELEM SCH DIST,477,3871
FRANKLIN IND SCH DIST 903,1103,33421
FRANKLIN LAKES BORO SCH,1226,31604
FRANKLIN LOCAL SCH DIST,1960,26798
FRANKLIN MCKINLEY ELEMENTARY SCH,11193,122537
FRANKLIN MONROE LOCAL SCH DIST,687,7958
FRANKLIN PARISH SCHOOL DISTRICT,2939,33982
FRANKLIN PARK SCHOOL DISTRICT 84,1306,20276
FRANKLIN PIERCE SCHOOL DISTRICT 402,7652,98705
FRANKLIN PUBLIC SCHOOLS,167,4680
FRANKLIN PUBLIC SCHOOLS DISTRICT 506,307,5545
FRANKLIN REG SCHOOL DISTRICT,3528,52822
FRANKLIN SCHOOL DISTRICT,1220,14383
FRANKLIN SCHOOL DISTRICT,4396,61159
FRANKLIN SPECIAL SCHOOL DISTRICT,3741,55691
FRANKLIN SQ UF SCHOOL DIST,2047,36336
FRANKLIN TOWNSHIP COMMUNITY SCHOOL CORPORATION,8928,99851
FRANKLIN TWP SCH DIST,230,5601
FRANKLIN TWP SCH DIST,300,6963
FRANKLIN TWP SCH DIST,1404,24445
FRANKLIN TWP SCH DIST,7520,179438
FRANKLINVILLE CENTRAL SCH DIST 1,736,19291
FRANKSTON IND SCH DIST 904,803,8901
FRANKTON LAPEL COMMUNITY SCHOOL DISTRICT,2263,31318
FRASER PUBLIC SCHOOLS,5366,60916
FRAZEE IND SCH DIST 23,912,11582
FRAZER ELEM SCH DIST 2,102,2421
FRAZER H S DIST 2B,39,2150
FRAZIER SCH DIST,1246,16770
FREDERIC SCHOOL DISTRICT,461,6846
FREDERICK AREA SCHOOL DISTRICT 6-2,167,2396
FREDERICK CO SCHOOLS,40782,610888
FREDERICK CO SCHS,13181,164558
FREDERICK SCH DIST 158,869,8061
FREDERICKSBURG CITY SCHOOLS,3466,45266
FREDERICKSBURG IND SCH DISTRICT 901,3009,38654
FREDERICKTOWN LOCAL SCH DIST,1178,13065
FREDERICKTOWN SCH DIST R1,1981,17970
FREDON TWP SCH DIST,250,5857
FREDONIA CTL SCH DIST,1573,30388
FREDONIA UNIFIED SCHOOL DISTRICT 484,689,8062
FREDONIA-MOCCASIN BI-COUNTY SCHOOL DISTRICT 6,259,2245
FREEBURG COMMUNITY CONSOLIDATED ELEM SCHOOL DISTRICT 70,769,6809
FREEBURG COMMUNITY HIGH SCHOOL DISTRICT 77,623,8018
FREEDOM AREA SCH DIST,1442,21696
FREEDOM SCH DIST 6,97,2040
FREEDOM SCHOOL DISTRICT,1671,19470
FREEDOM TOWN SCH DIST,127,3675
FREEHOLD BORO SCH DIST,1628,25634
FREEHOLD REGIONAL HIGH SCH DIST,11133,208204
FREEHOLD TWP SCH DIST,3912,78162
FREELAND COMM SCH DIST,1886,18167
FREEMAN PUBLIC SCHOOLS,449,6729
FREEMAN SCHOOL DISTRICT 33-1,311,4400
FREEMAN SCHOOL DISTRICT 358,923,10831
FREEPORT AREA SCH DIST,1856,27737
FREEPORT SCHOOL DISTRICT 145,4115,56699
FREEPORT UNION FREE SCH DIST,6867,164155
FREER IND SCH DISTRICT 903,778,10202
FREETOWN LAKEVILLE REGIONAL SCHOOLS,2837,40029
FRELINGHUYSEN SCH DIST,149,2899
FREMONT CITY SCH DIST,4101,46569
FREMONT CITY SCH DIST 1,4754,54352
FREMONT CO SCH DIST 1,1700,31325
FREMONT CO SCH DIST 14,635,28615
FREMONT CO SCH DIST 2,150,8694
FREMONT CO SCH DIST 21,480,20020
FREMONT CO SCH DIST 24,401,19113
FREMONT CO SCH DIST 25,2563,48131
FREMONT CO SCH DIST 38,461,15060
FREMONT CO SCHOOL DIST 6,359,9859
FREMONT COMMUNITY SCHOOLS,1044,14413
FREMONT COUNTY SCHOOL DISTRICT 215,2236,17917
FREMONT MILLS COMMUNITY SCHOOL DISTRICT,517,6123
FREMONT PUBLIC SCH DIST,2230,25524
FREMONT SCHOOL DISTRICT 79,2193,37053
FREMONT TOWN SCH DIST,694,11457
FREMONT UNIF SCHOOL DIST,34208,360925
FREMONT UNION HIGH SCHOOL DIST,10792,168154
FRENCH GULCH-WHISKEYTOWN ELEM SCH DIST,32,528
FRENCHGLEN SCH DIST 16,129,1292
FRENCHMAN SCH DIST R 3,198,2668
FRENCHTOWN BORO SCH DIST,144,4050
FRENCHTOWN K-12 SCHOOL DISTRICT,1208,13874
FRENSHIP IND SCH DIST 907,8825,85595
FRESHWATER ELEM SCH DIST,336,3157
FRESNO UNIFIED SCH DIST,73543,845109
FREWSBURG CENTRAL SCHOOL DIST,865,15447
FRIDLEY SCH DIST 14,3005,45995
FRIEND CITY SCH DIST 68,277,5125
FRIEND SCH DIST 37,273,2086
FRIENDSHIP CENTRAL SCH DIST,392,9746
FRIENDSWOOD IND SCH DISTRICT 911,6106,57055
FRIESS LAKE SCHOOL DISTRICT,227,2806
FRINK-CHAMBERS SCHOOL DIST 29,429,3208
FRIONA IND SCH DIST 903,1150,12686
FRISCO INDEP SCH DISTRICT 905,49644,503571
FROID ELEM SCH DIST 65,74,1466
FROID H S DIST 65E,31,1266
FROMBERG PUBLIC SCHOOLS,100,1947
FRONTENAC UNIFIED SCHOOL DISTRICT 249,923,10026
FRONTIER CENTRAL SCH DIST,5006,77124
FRONTIER CONSOLIDATED SCHOOL CORPORATION,696,8976
FRONTIER ELEM DIST 3,135,1615
FRONTIER LOCAL SCH DIST,661,8680
FRONTIER REGNL SCH DIST,600,13777
FRONTIER SCHOOL DISTRICT,394,6517
FROST IND SCH DIST 905,416,4697
FRUITLAND SCHOOL DISTRICT 373,1725,12024
FRUITPORT COMM SCH DIST,2929,30659
FRUITVALE ELEM SCH DIST,3259,30479
FRUITVALE IND SCH DIST 909,393,4696
FT DAVIS IND SCH DIST 901,217,3117
FT LEAVENWORTH UNIFIED SCHOOL DISTRICT 207,1769,23185
FT LUPTON SCH DIST RE-8,2333,27355
FT SAM HOUSTON INDEPENDENT SCH DIST 914,1514,26986
FT SUMNER SCHOOL DISTRICT,320,5189
FT THOMAS IND SCH DIST,3053,34181
FT THOMAS SCHOOL DISTRICT 7,577,8588
FT ZUMWALT SCH DIST R II,18432,207588
FULDA IND SCH DIST 505,328,4365
FULLERTON CITY SCH DIST 1,306,4886
FULLERTON ELEM SCH DIST,13678,133958
FULLERTON JT UNION HIGH SCHOOL DIST,14396,154556
FULTON CITY SCH DIST,3558,69707
FULTON CO SCH DIST,591,6946
FULTON CO SCHOOL DIST,95460,1163528
FULTON COUNTY COMMUNITY UNIT SCHOOL DISTRICT 3,479,7308
FULTON INDEP SCH DIST,405,4956
FULTON SCH DIST 58,2251,21525
FULTON SCHS DIST,818,8725
FURNAS CO SCHOOL DISTRICT 540,462,8652
G.F.W. ISD 2365,773,10383
GACKLE-STREETER SCHOOL DISTRICT 56,108,1865
GADSDEN CITY SCHOOL DISTRICT,5319,52204
GADSDEN COUNTY SCHOOL DISTRICT,5942,59460
GADSDEN SCHOOL DISTRICT,13581,153616
GADSDEN SCHOOL DISTRICT 32,5321,38152
GAGE SCH DIST 39,78,1401
GAHANNA JEFFERSON CITY SCH DIS T,7299,93785
GAINESVILLE IND SCH DIST,7935,79166
GAINESVILLE IND SCH DIST 901,2858,30230
GAINESVILLE SCH DIST R 5,670,5932
GALATIA COMMUNITY UNIT SCHOOL DISTRICT 1,454,4685
GALAX CITY SCHOOLS,1387,15610
GALENA CITY SCHOOL DISTRICT,4335,37801
GALENA PARK IND SCH DIST 910,22725,261999
GALENA SCH DIST R 2,531,5368
GALENA UNIFIED SCHOOL DISTRICT 499,849,10314
GALENA UNIT SCHOOL DISTRICT 120,821,13227
GALESBURG AUGUSTA COMM SCHOOL DIST,1052,12267
GALESBURG COMMUNITY UNIT SCHOOL DISTRICT 205,4573,59055
GALESVILLE-ETTRICK SCHOOL DISTRICT,1385,17946
GALETON AREA SCH DIST,347,6800
GALION CITY SCH DIST,1806,21962
GALLATIN CO SCH DIST,1723,19813
GALLATIN COMMUNITY UNIT SCHOOL DISTRICT 7,743,8535
GALLATIN GATEWAY ELEM DIST 35,152,1852
GALLATIN SCH DIST R 5,626,5951
GALLIA CO LOCAL SCH DIST,2084,34526
GALLIPOLIS CITY SCH DIST,2128,24348
GALLOWAY TWP SCHOOL DIST,3275,68293
GALLUP-MCKINLEY COUNTY SCHOOLS,11907,147243
GALT JT UNION ELEM SCH DIST,3693,39282
GALT JT UNION HIGH SCHOOL DIST,2263,25309
GALVA COMMUNITY UNIT SCHOOL DISTRICT 224,581,6481
GALVA-HOLSTEIN COMMUNITY SCHOOL DISTRICT,452,7000
GALVESTON IND SCH DISTRICT 902,6974,93899
GALWAY CENTRAL SCHOOL DISTRICT,884,18518
GANADO IND SCH DIST 902,778,10585
GANADO UNIFIED SCHOOL DISTRICT 20,1516,21172
GANANDA CENTRAL SCHOOL DISTRICT,1035,21123
GANGES TWP SCH DIST 4,39,548
GANS SCH DIST 4,421,3593
GARAWAY LOCAL SCH DIST,1194,13226
GARBER SCH DIST 47,378,3884
GARDEN CITY SCH DIST,4125,57686
GARDEN CITY U F SCH DIST,3907,108788
GARDEN CITY UNIFIED SCHOOL DISTRICT 457,7784,100734
GARDEN CO HIGH SCH DIST 1,257,4781
GARDEN GROVE UNIF SCHOOL DIST,46177,654058
GARDEN VALLEY SCHOOL DISTRICT 71,226,3623
GARDINER ELEM SCH DIST 7,130,1789
GARDINER H S DIST 4,78,1558
GARDNER COMMUNITY CONSOLIDATED SCHOOL DISTRICT 72C,200,2432
GARDNER PUBLIC SCH,2473,36376
GARDNER S WILM TOWNSHIP HIGH SCHOOL DISTRICT 73,191,3661
GARDNER-EDGERTON-ANTIOCH SCHOOL DISTRICT 231,5730,66721
GARFIELD CO HIGH SCH DIST,53,1191
GARFIELD CO SCH DIST,979,14264
GARFIELD ELEM SCH DIST,58,588
GARFIELD HGTS CITY SCHOOL DIST,3706,49541
GARFIELD SCH DIST 16,1038,17953
GARFIELD SCH DIST R 2,4828,53331
GARFIELD SCHOOL DISTRICT,5023,107554
GARFIELD SCHOOL DISTRICT 302,103,2519
GARLAND IND SCH DIST 909,57436,561186
GARNER HAYFIELD COMMUNITY SCHOOL DISTRICT,809,11655
GARNER IND SCH DIST 911,199,2450
GARNET VALLEY SCH DIST,4748,93480
GARNETT UNIFIED SCHOOL DISTRICT 365,1073,13298
GARRARD CO SCH DIST,2669,26815
GARRETSON SCHOOL DISTRICT 49-4,503,5021
GARRETT COUNTY SCHOOLS,3858,57806
GARRETT-KEYSER-BUTLER COMMUNITY SCHOOL CORPORATION,1718,21454
GARRISON IND SCH DIST 903,734,8781
GARRISON PUB SCH DIST 51,385,5723
GARRISON U F SCH DIST,226,9638
GARVEY ELEM SCH DIST,5051,62905
GARWOOD BORO SCH DIST,372,9057
GARY COMMUNITY SCHOOL CORPORATION,7809,101119
GARY IND SCH DIST 904,458,6029
GASCONADE CO. SCHOOL DIST. R-1,990,10179
GASCONADE COUNTY SCHOOL DISTRICT R-2,1936,17664
GASCONADE SCHOOL DISTRICT C-4,97,1153
GASTON CO SCH,31954,260679
GASTON SCH DIST 511 J,566,6358
GATES CHILI CTL SCHOOL DIST,4207,104030
GATES CO SCH,1691,19120
GATESVILLE IND SCH DIST 902,2820,25422
GATEWAY REG SCH DIST,956,19404
GATEWAY REGIONAL SCHOOL DIST,957,22812
GATEWAY SCH DIST,3430,70963
GATEWAY UNIFIED SCHOOL DISTRICT,3853,46100
GAUSE IND SCH DIST 902,186,2078
GAVIN SCHOOL DISTRICT 37,879,12775
GAYLORD COMM SCH DIST,3030,33263
GAYVILLE-VOLIN IND SCHOOL DISTRICT 63-1,307,2851
GAZELLE UNION ELEM SCH DIST,36,550
GEARY COUNTY UNIFIED SCHOOL DISTRICT 475,8533,134284
GEARY SCH DIST 80,415,4723
GEFF COMMUNITY CONSOLIDATED SCHOOL DISTRICT 14,104,1144
GEN BROWN CENTRAL SCH,1564,22330
GEN GEORGE PATTON SCHOOL DISTRICT 133,317,5968
GEN SHAFTER ELEM SCH DIST,153,2342
GENERAL MC LANE SCH DIST,2173,32187
GENESEE JOINT SCHOOL DISTRICT 282,305,3725
GENESEE TWP SCH DIST 6,736,7701
GENESEO CENTRAL SCH DIST,885,18843
GENESEO COMMUNITY UNIT SCHOOL DISTRICT 228,2557,26893
GENEVA AREA CITY SCH DIST,2556,26818
GENEVA CITY SCH DIST,2243,58283
GENEVA CITY SCHOOL DISTRICT,1264,11762
GENEVA COMMUNITY UNIT SCHOOL DISTRICT 304,5889,105389
GENEVA COUNTY SCHOOL DISTRICT,2744,27741
GENEVA-LINN JOINT SCHOOL DISTRICT 4,218,2977
GENOA AREA LOCAL SCH DIST,1375,13820
GENOA CENTRAL SCH DIST,1112,10359
GENOA CITY JOINT SCHOOL DISTRICT 2,586,8023
GENOA KINGSTON COMMUNITY UNIT SCHOOL DISTRICT 424,1772,22835
GENOA-HUGO SCHOOL DISTRICT C113,171,3473
GENTRY COUNTY SCHOOL DIST. R-2,345,4156
GENTRY SCH DIST 19,1418,15647
GEORGE CO SCH DIST,4106,32163
GEORGE WEST IND SCH DIST 901,1133,12054
GEORGE-LITTLE ROCK SCHOOL DISTRICT,478,6189
GEORGETOWN COUNTY SCHOOL DISTRICT,9687,122519
GEORGETOWN EX VLG SCHOOL DIST,975,11041
GEORGETOWN IND SCH DIST 904,10651,123426
GEORGETOWN RIDGEFARM COMMUNITY UNIT DISTRICT 4,1065,11888
GEORGETOWN TOWN SCHOOLS,105,2235
GEORGETOWN TOWN SCHS,1462,32817
GEORGIA TOWN SCH DIST,891,12621
GERALDINE PUBLIC SCHOOLS,96,1848
GERBER UNION ELEM SCH DIST,404,4189
GERING PUBLIC SCH DIST 16,2057,22373
Germantown,5744,51359
GERMANTOWN CENTRAL SCH,589,14140
GERMANTOWN HILLS SCHOOL DISTRICT 69,890,9009
GERMANTOWN SCHOOL DISTRICT,3931,47422
GERMANTOWN SCHOOL DISTRICT 60,260,2119
GERONIMO SCH DIST 4,337,3546
GERRISH HIGGINS SCH DIST,1098,12832
GERVAIS SCHOOL DIST 1,1075,12698
GETTYSBURG AREA SCH DIST,2994,58137
GETTYSBURG SCHOOL DISTRICT 53-1,259,3556
GEYSER ELEM SCH DIST 58,41,731
GEYSER H S 58,23,755
GEYSERVILLE UNIF SCH DIST,253,4034
GHOLSON INDEPENDENT SCH DIST 925,248,2643
GIANT CITY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 130,254,2573
GIBBON SCH DIST 2,599,9132
GIBBSBORO SCH DIST,273,5017
GIBRALTAR AREA SCHOOL DISTRICT,594,11170
GIBRALTAR SCH DIST,3633,38496
GIBSON CITY-MELVIN-SIBLEY COMMUNITY SCHOOL DISTRICT 5,1041,14211
GIBSON SPEC SCHOOL DIST,4036,34441
GIBSONBURG EX VLG SCHOOL DIST,1047,10534
GIDDINGS IND SCH DIST 901,1961,21172
GIDEON SCH DIST 37,279,2911
GIFFORD COMMUNITY CONSOLIDATED SCHOOL DISTRICT 188,198,2503
GILA BEND UNIFIED SCHOOL DISTRICT 24,400,5161
GILA COUNTY REGIONAL SCHOOL DISTRICT,80,929
GILA INSITUTE FOR TECHNOLOGY,34,1828
GILBERT COMMUNITY SCHOOL DISTRICT,1374,18698
GILBERT SCHOOL DISTRICT 41,37096,298128
GILBERTSVILLE-MT UPTON CENTRAL SCHOOL DIST,396,9029
GILBOA-CONESVILLE CTL SCH DIST,342,10060
GILCHRIST COUNTY SCHOOL DISTRICT,2615,26875
GILCREST RE-1,1990,19918
GILEAD TOWN SCHOOLS,30,257
GILES CO SCH DIST,4030,35265
GILES CO SCHS,2423,26375
GILFORD SCHOOL DISTRICT,1035,24212
GILLESPIE COMMUNITY UNIT SCHOOL DISTRICT 7,1319,15487
GILLETT SCHOOL DISTRICT 3,536,8516
GILLIAM SCH DIST C4,47,625
GILL-MONTAGUE REG SCH DIST,1000,22294
GILMAN CITY SCHOOL DIST R-4,146,1669
GILMAN VILL JOINT SCHOOL DISTRICT 2,375,6261
GILMANTON SCHOOL DISTRICT,157,2649
GILMANTON TOWN SCH DIST,563,9237
GILMER CO SCH DIST,904,13289
GILMER CO SCH DIST,4303,46581
GILMER IND SCH DIST 902,2418,23066
GILMORE CITY BRADGATE COMMUNITY SCHOOL DISTRICT,120,2056
GILPIN SCH DIST R 1,429,6182
GILROY UNIFIED SCHOOL DISTRICT,11840,123616
GILTNER SCH DIST 2,196,2986
GIRARD CITY SCH DIST,1712,19320
GIRARD SCHOOL DISTRICT,1743,24782
GIRARD UNIFIED SCHOOL DISTRICT 248,1045,11902
GLADBROOK-REINBECK COMMUNITY SCHOOL DISTRICT,596,7465
GLADES COUNTY SCHOOL DISTRICT,1603,16757
GLADEWATER IND SCH DIST 901,1852,19057
GLADSTONE AREA PUB SCHS,1484,15013
GLADSTONE SCH DIST 115,2217,25297
GLADWIN COMM SCH DIST,1742,17480
GLASCOCK CO SCH DIST,607,6216
GLASGOW INDEP SCH DIST,2258,25445
GLASGOW K-12 SCHOOL DISTRICT,813,9895
GLASSBORO BORO SCH DIST,2133,45263
GLASSCOCK CO IND SCH DIST 901,308,43974
GLASTONBURY TOWN SCHOOLS,6129,124323
GLEN COVE CITY SCH DIST,3291,82084
GLEN ELLYN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 89,2011,36603
GLEN ELLYN SCHOOL DISTRICT 41,3451,61726
GLEN LAKE COMM SCH DIST,741,13423
GLEN RIDGE BORO SCH DIST,1904,33355
GLEN ROCK BORO SCH DIST,2402,52343
GLEN ROSE IND SCH DIST 901,1667,31340
GLEN ROSE SCH DIST,1033,9958
GLEN ULLIN PUB SCH DIST 48,193,3007
GLENBARD TOWNSHIP HIGH SCHOOL DISTRICT 87,8288,175898
GLENBURN PUBLIC SCHOOLS,655,8809
GLENBURN SPEC SCHOOL DIST 26,296,4179
GLENCOE SCH DIST 101,347,3258
GLENCOE SCHOOL DISTRICT 35,1207,33465
GLENCOE-SILVER LAKE SCHOOL DIST 2859,1598,18859
GLENDALE ELEMENTARY SCHOOL DISTRICT 40,13773,97208
GLENDALE RIVER HILLS SCHOOL DISTRICT,1028,15975
GLENDALE SCH DIST 77,343,5047
GLENDALE SCHOOL DIST,819,13159
GLENDALE UNIFIED SCH DIST,26168,319617
GLENDALE UNION HIGH SCHOOL DISTRICT 205,15316,143877
GLENDIVE ELEM DIST 1,931,9468
GLENDORA UNIF SCH DIST,7733,74518
GLENN CO SPL SCHS OPER BY CO SUPT,436,22823
GLENNS FERRY SCHOOL DISTRICT 192,435,4042
GLENPOOL SCH DIST 13,2638,21443
GLENS FALLS CITY SCHOOL DISTRICT,2038,40406
GLENS FALLS COMMON SCHOOL DISTRICT,182,4481
GLENVIEW COMMUNITY CONSOLIDATED SCHOOL DISTRICT 34,4887,79622
GLENVILLE-EMMONS ISD 2886,232,3808
GLENWOOD CITY SCHOOL DISTRICT,750,9538
GLENWOOD COMMUNITY SCHOOL DISTRICT,2054,25456
GLENWOOD CONSOLIDATED SCHOOL DISTRICT 401,68,2017
GLENWOOD SCH DIST R8,357,3457
GLIDDEN RALSTON COMMUNITY SCHOOL DISTRICT,302,4207
GLIDE SCH DIST 12,671,8338
