District,Total Enrollment,Total Revenue
ASHLEY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15,149,1538
ASHLEY SCH DIST 9,120,2277
ASHTABULA AREA CITY SCHOOL DIST,3639,48853
ASHTON COMMUNITY UNIT SCHOOL DISTRICT 275,523,7619
ASHWAUBENON SCHOOL DISTRICT,3271,35957
ASOTIN ANATONE SCHOOL DISTRICT 420,620,7083
ASPEN SCH DIST 1,1756,41838
ASPERMONT IND SCH DIST 901,250,4969
ASSABET VALLEY VOCATIONAL TECH REG SCH,1058,32345
ASSUMPTION PARISH SCHOOL DISTRICT,3688,47934
ASTORIA COMMUNITY UNIT SCHOOL DISTRICT 1,360,5122
ASTORIA SCH DIST IC,1860,21965
ATASCADERO UNIFIED SCHOOL DISTRICT,4722,47168
ATCHISON CITY UNIFIED SCHOOL DISTRICT 409,1679,20039
ATCHISON COUNTY UNIFIED SCHOOL DISTRICT 377,616,7836
ATHENA WESTON SCH DIST 29J,586,6573
ATHENS AREA SCH DIST,550,5963
ATHENS AREA SCH DIST,2133,36683
ATHENS CITY SCH DIST,1707,17571
ATHENS CITY SCH DIST,2751,36759
ATHENS CITY SCHOOL DISTRICT,3420,38308
ATHENS COMMUNITY UNIT SCHOOL DISTRICT 213,1102,12450
ATHENS IND SCH DIST 901,3297,33174
ATHENS PUBLIC SCHOOLS,156,2234
ATHENS SCHOOL DISTRICT,407,6475
ATHENS/GRAFTON CONTRACT SCHOOL DISTRICT,103,3114
ATHERTON COMM SCH DIST,898,9142
ATHOL ROYALSTON REG SCH,1412,27342
ATKINS SCH DIST,1042,10703
ATKINSON CO SCH DIST,1697,18152
ATLANTA COMM SCHS,252,3394
ATLANTA CONS SCH DIST C-3,191,2151
ATLANTA IND SCH DIST 901,1784,19467
ATLANTA PUBLIC SCHOOLS,51145,852155
ATLANTIC CITY SCH DISTRICT,7292,192569
ATLANTIC COMMUNITY SCHOOL DISTRICT,1538,19896
ATLANTIC COUNTY SPECIAL SERVICES DISTRICT,408,33796
ATLANTIC COUNTY VOCATIONAL SCHOOL,1397,22609
ATLANTIC HIGHLANDS SCHOOL DIST,316,5834
ATOKA SCH DIST 15,941,8862
ATTALA CO SCHOOL DISTRICT,1110,12831
ATTALLA CITY SCHOOL DISTRICT,1721,15554
ATTICA CENTRAL SCH DIST,1374,28205
ATTICA CONSOLIDATED SCHOOL CORPORATION,820,9796
ATTICA UNIFIED SCHOOL DISTRICT 511,181,2685
ATTLEBORO CITY SCHS,5927,90000
ATWATER ELEM SCH DIST,4855,48878
ATWOOD HEIGHTS SCHOOL DISTRICT 125,716,9737
AUBREY IND SCH DISTRICT 907,2213,22057
AUBURN CITY SCH DIST,4293,81491
AUBURN CITY SCH DIST 29,866,11443
AUBURN CITY SCHOOL DISTRICT,3571,45786
AUBURN CITY SCHOOL DISTRICT,8123,93437
AUBURN COMMUNITY UNIT SCHOOL DISTRICT 10,1414,13442
AUBURN SCHOOL DISTRICT 408,15481,207809
AUBURN TOWN SCH,2369,49900
AUBURN TOWN SCH DIST,872,12651
AUBURN UNION ELEM SCH DIST,2060,22557
AUBURNDALE JOINT SCHOOL DISTRICT 1,853,11894
AUBURN-WASHBURN UNIFIED SCHOOL DISTRICT 437,6204,65311
AUDUBON BORO SCH DIST,1553,27038
AUDUBON COMMUNITY SCHOOL DISTRICT,570,7257
AUGRES-SIMS SCH DIST,405,4387
AUGUSTA CITY SCHOOLS,2148,32657
AUGUSTA CO SCH DIST,10522,120271
AUGUSTA ELEM SCH DIST 45,59,789
AUGUSTA HIGH SCH DIST 45,25,836
AUGUSTA INDEP SCH DIST,284,3767
AUGUSTA JOINT SCHOOL DISTRICT 1,646,10161
AUGUSTA SCH DIST 10,431,6388
AUGUSTA UNIFIED SCHOOL DISTRICT 402,2334,23966
AULT-HIGHLANDS SCH DIST RE-9,761,9437
AURELIA COMMUNITY SCHOOL DISTRICT,259,3752
AURORA CITY SCH DIST,2910,39242
AURORA EAST SCHOOL DISTRICT 131,14799,185128
AURORA SCH DIST R-8,2112,18608
AURORA SCHOOL DISTRICT 504,1223,18760
AURORA WEST UNIT SCHOOL DISTRICT 129,12638,175236
